intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4247000,0.009701507879762521,0.5498446400828586,0.009701507879762521,0.009701507879762521,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_016839165.1 Bradyrhizobium sp. PSBB068, ASM1683916v1",32a4bdd4c567a5683239a4c86954e39a,0.5498446400828586,4247000,0,20694000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8611113833074777,0.9808907634629577,0.9210010733852176,0.9808907634629577,False,,4247,437767
3607000,0.008239542953214838,1.0,0.008239542953214838,0.008239542953214838,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCA_001507855.1 Halomonas sp. 54_146, ASM150785v1",891283cc5aa25ec80ffd340b730126fe,1.0,3607000,1,17087000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8565861901825491,1.0,0.9282930950912746,1.0,False,,7854,437767
2360000,0.005390995666644585,0.48559670781893005,0.005390995666644585,0.005390995666644585,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_002197815.1 Pseudomonas oleovorans subsp. oleovorans strain=DSM 1045, ASM219781v1",c3934963a0c91f7d14e718c2e3ca4b1e,0.48559670781893005,2360000,2,14727000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.844944204967001,0.9769669280459402,0.9109555665064706,0.9769669280459402,False,,10214,437767
1483000,0.0033876468532347114,0.670737222976029,0.0033876468532347114,0.0033876468532347114,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_000019085.1 Thermoanaerobacter pseudethanolicus ATCC 33223 strain=ATCC 33223; 39E, ASM1908v1",123f408fa4f07b259bd53f8497dd56d2,0.670737222976029,1483000,3,13244000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8323755110484495,0.9871994765307122,0.9097874937895809,0.9871994765307122,False,,11697,437767
1215000,0.002775449040242869,0.2444578798871423,0.0027708803998474072,0.0027708803998474072,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_003034985.1 Cereibacter changlensis JA139 strain=JA139, ASM303498v1",c2eb14ebdad43fc3732851882b5b3f77,0.24486094316807738,1213000,4,12031000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8270406940468114,0.9556254920787522,0.8913330930627819,0.9556254920787522,False,,12910,437767
796000,0.001818318877393682,0.24875,0.001818318877393682,0.001818318877393682,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_904846215.1 Psychrobacter glacincola, ASM90484621v1",bcf59662984c3bd28755a993ce4b2538,0.24875,796000,5,11235000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8158348621567431,0.9561113786652965,0.8859731204110197,0.9561113786652965,False,,13706,437767
560000,0.0012792193107292234,0.23045267489711935,0.0012792193107292234,0.0012792193107292234,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_003030305.1 Cutibacterium acnes strain=ATCC 6919, ASM303030v1",ff021938b2e5aeb2c3d43194bd8f6fed,0.23045267489711935,560000,6,10675000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8066323685242478,0.9537578403273992,0.8801951044258235,0.9537578403273992,False,,14266,437767
2183000,0.004986670991646241,0.10934709267711848,0.0012586604289496466,0.0012586604289496466,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_003052605.1 Pseudomonas indoloxydans strain=JCM 14246, ASM305260v1",9346c5bf9e9e53d84319694b2b503d72,0.4332208771581663,551000,7,10124000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8428219343136403,0.9733767032665676,0.9080993187901039,0.9733767032665676,False,,14817,437767
522000,0.0011924151432154547,0.1620734908136483,0.0011284541776789936,0.0011284541776789936,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_016107575.1 Psychrobacter faecalis strain=DSM 14664, ASM1610757v1",5c18d885203a7222846560eaa3c282c6,0.17125984251968504,494000,8,9630000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8048060067451854,0.9446680148125316,0.8747370107788586,0.9446680148125316,False,,15311,437767
469000,0.0010713461727357247,0.23662966700302723,0.0010713461727357247,0.0010713461727357247,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_009883775.1 Sulfurimonas sp. CVO strain=CVO, ASM988377v1",55dd14e33f204370aa34a3c470a65ec9,0.23662966700302723,469000,9,9161000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8020312395092255,0.9545719832176063,0.8783016113634159,0.9545719832176063,False,,15780,437767
494000,0.0011284541776789936,0.09194686591946866,0.001011953847594725,0.001011953847594725,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_000495915.1 Pseudomonas chloritidismutans AW-1 strain=AW-1, PseChl",21c15df0169fff50b88797c8bf3c28f2,0.10253217102532171,443000,10,8718000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.8033759683746515,0.9291637605481344,0.866269864461393,0.9291637605481344,False,,16223,437767
396000,0.0009045907983013795,0.04865556978233035,0.0007812375076239186,0.0007812375076239186,,,,/group/ctbrowngrp/sourmash-db/gtdb-rs207/gtdb-rs207.genomic-reps.dna.k31.zip,"GCF_018129965.1 Bradyrhizobium diazoefficiens strain=SZCCT0138, ASM1812996v1",bec98ccf6a73e197c5810c46410fd37c,0.056338028169014086,342000,11,8376000,hu/SRR1977296.abundtrim.fq.gz,SRR1977296.21585 HWI-D00306:154:H81CWADXX:1:1101:18304:4639/1,0ef6744e,437767000,31,DNA,1000,437767,False,0.797665920434592,0.9113879428105212,0.8545269316225566,0.9113879428105212,False,,16565,437767
